lat,lon
38.674,-76.3407
38.4974,-76.3237
38.485,-76.3207
38.4858,-76.3207
38.4896,-76.3205
38.4842,-76.3197
38.485,-76.3197
38.4858,-76.3197
38.4858,-76.3194
38.4931,-76.3191
38.4912,-76.3188
38.4915,-76.3188
38.4931,-76.3188
38.4947,-76.3188
38.4815,-76.3186
38.4823,-76.3186
38.4834,-76.3186
38.4842,-76.3186
38.4823,-76.3183
38.4834,-76.3183
38.4842,-76.3183
38.4858,-76.3183
38.4842,-76.318
38.485,-76.318
38.4853,-76.318
38.4858,-76.318
38.4861,-76.318
38.495,-76.3178
38.4807,-76.3175
38.495,-76.3175
38.4815,-76.3172
38.4823,-76.3172
38.4799,-76.3162
38.4807,-76.3162
38.4815,-76.3162
38.4823,-76.3159
38.4788,-76.3151
38.4775,-76.314
38.4788,-76.3137
38.4791,-76.3137
38.4683,-76.3135
38.4699,-76.3129
38.4702,-76.3129
38.471,-76.3126
38.4726,-76.3126
38.4686,-76.3118
38.454,-76.3105
38.4543,-76.3102
38.4737,-76.3102
38.4678,-76.3097
38.4651,-76.3094
38.4724,-76.3091
38.4654,-76.3083
38.4702,-76.3081
38.4705,-76.3081
38.4554,-76.3078
38.4559,-76.3075
38.4646,-76.3073
38.4678,-76.3073
38.4681,-76.3073
38.4538,-76.3064
38.4632,-76.3059
38.4427,-76.3024
38.443,-76.3024
38.4387,-76.2989
38.4387,-76.2986
38.4357,-76.2978
38.4858,-76.2973
38.4858,-76.297
38.4858,-76.2967
38.4395,-76.2965
38.4939,-76.2965
38.5742,-76.2965
38.439,-76.2962
38.5742,-76.2962
38.5753,-76.2962
38.5761,-76.2962
38.5769,-76.2962
38.5753,-76.2959
38.5761,-76.2959
38.5769,-76.2959
38.4363,-76.2951
38.4923,-76.2951
38.4977,-76.2951
38.5726,-76.2951
38.5742,-76.2951
38.4842,-76.2949
38.485,-76.2949
38.4858,-76.2949
38.4861,-76.2949
38.5777,-76.2949
38.4298,-76.2946
38.4301,-76.2946
38.4842,-76.2946
38.485,-76.2946
38.4858,-76.2946
38.4861,-76.2946
38.4869,-76.2946
38.4301,-76.2943
38.5734,-76.2941
38.5737,-76.2941
38.5742,-76.2941
38.5745,-76.2941
38.5753,-76.2941
38.5761,-76.2941
38.5764,-76.2941
38.5734,-76.2938
38.5737,-76.2938
38.5742,-76.2938
38.5753,-76.2938
38.5761,-76.2938
38.5769,-76.2938
38.5777,-76.2938
38.578,-76.2938
38.5783,-76.2938
38.5012,-76.2935
38.5764,-76.2935
38.5777,-76.2935
38.578,-76.2935
38.5783,-76.2935
38.5788,-76.2935
38.4279,-76.2932
38.5783,-76.2932
38.5788,-76.2932
38.5791,-76.2932
38.5726,-76.293
38.5729,-76.2927
38.5734,-76.2927
