lat,lon
38.4813,-76.331
38.4748,-76.3302
38.474,-76.3291
38.4743,-76.3291
38.4751,-76.3291
38.4759,-76.3288
38.4732,-76.3277
38.4735,-76.3277
38.4743,-76.3277
38.4708,-76.3256
38.4681,-76.3245
38.4955,-76.3213
38.4958,-76.3213
38.4966,-76.3213
38.4931,-76.3202
38.4939,-76.3202
38.4942,-76.3202
38.495,-76.3202
38.4955,-76.3202
38.4958,-76.3202
38.4966,-76.3202
38.4942,-76.3199
38.4947,-76.3199
38.4955,-76.3199
38.4966,-76.3199
38.4869,-76.3197
38.4885,-76.3197
38.4877,-76.3194
38.4885,-76.3194
38.4904,-76.3191
38.4915,-76.3191
38.492,-76.3191
38.4904,-76.3188
38.4907,-76.3188
38.4923,-76.3188
38.4934,-76.3188
38.4939,-76.3188
38.4942,-76.3188
38.495,-76.3188
38.4807,-76.3186
38.485,-76.3183
38.4861,-76.3183
38.4869,-76.3183
38.4869,-76.318
38.492,-76.3178
38.4923,-76.3178
38.4926,-76.3178
38.4931,-76.3178
38.4934,-76.3178
38.4939,-76.3178
38.4942,-76.3178
38.4947,-76.3178
38.4953,-76.3178
38.4955,-76.3178
38.4958,-76.3178
38.4961,-76.3178
38.4966,-76.3178
38.4945,-76.3175
38.4947,-76.3175
38.4953,-76.3175
38.4955,-76.3175
38.4958,-76.3175
38.4961,-76.3175
38.4966,-76.3175
38.4972,-76.3175
38.4826,-76.3172
38.4834,-76.3172
38.4869,-76.317
38.4872,-76.317
38.488,-76.317
38.4885,-76.317
38.4888,-76.317
38.4896,-76.317
38.4899,-76.317
38.4904,-76.317
38.4912,-76.317
38.4885,-76.3167
38.4888,-76.3167
38.4891,-76.3167
38.4896,-76.3167
38.4899,-76.3167
38.4904,-76.3167
38.4907,-76.3167
38.4912,-76.3167
38.4918,-76.3167
38.492,-76.3167
38.4923,-76.3167
38.4931,-76.3167
38.4934,-76.3167
38.4918,-76.3164
38.492,-76.3164
38.4923,-76.3164
38.4926,-76.3164
38.4931,-76.3164
38.4934,-76.3164
38.4818,-76.3162
38.4842,-76.3162
38.4845,-76.3162
38.485,-76.3162
38.4845,-76.3159
38.4861,-76.3159
38.4864,-76.3159
38.4869,-76.3159
38.4872,-76.3159
38.4861,-76.3156
38.4864,-76.3156
38.4869,-76.3156
38.4872,-76.3156
38.4877,-76.3156
38.488,-76.3156
38.4885,-76.3156
38.4888,-76.3156
38.4891,-76.3156
38.4896,-76.3156
38.4899,-76.3156
38.4872,-76.3153
38.4877,-76.3153
38.488,-76.3153
38.4883,-76.3153
38.4885,-76.3153
38.4888,-76.3153
38.4891,-76.3153
38.4896,-76.3153
38.4899,-76.3153
38.4912,-76.3153
38.4923,-76.3153
38.478,-76.3151
38.4791,-76.3151
38.4796,-76.3151
38.4799,-76.3151
38.4807,-76.3151
38.4791,-76.3148
38.4807,-76.3148
38.4826,-76.3148
38.4829,-76.3148
38.4834,-76.3148
38.481,-76.3145
38.4815,-76.3145
38.4829,-76.3145
38.4845,-76.3145
38.4848,-76.3145
38.485,-76.3145
38.4853,-76.3145
38.4856,-76.3145
38.4894,-76.3143
38.4896,-76.3143
38.4923,-76.3143
38.4729,-76.314
38.4764,-76.314
38.4912,-76.314
38.4753,-76.3137
38.4756,-76.3137
38.4761,-76.3137
38.4796,-76.3137
38.4826,-76.3135
38.4829,-76.3135
38.4834,-76.3135
38.4837,-76.3135
38.484,-76.3135
38.4842,-76.3135
38.4845,-76.3135
38.4848,-76.3135
